ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","3032","偉訓","電子零組件業","577364","589212","670983","-2.0108212324256804","-13.952514445224395","6041360","6793704","-11.07413569975966","-"
"1131117","11310","3033","威健","電子通路業","7342662","9146303","5400290","-19.71989119538244","35.96792024132037","72334295","58100412","24.49876431168853","-"
"1131117","11310","3034","聯詠","半導體業","8522705","8918212","9525678","-4.434823931074973","-10.529150785907312","86047937","92800551","-7.276480502793566","-"
"1131117","11310","3035","智原","半導體業","930020","942900","926905","-1.3659985152190053","0.3360646452441189","9042077","10068654","-10.19577194727319","-"
"1131117","11310","3036","文曄","電子通路業","98597074","84514548","67633958","16.66284247299057","45.78042881949922","796151367","472456764","68.51306355728246","收購Future Electronics、半導體產業循環的基期差異、公司市佔率的提升。"
"1131117","11310","3037","欣興","電子零組件業","10479818","10837646","8789447","-3.301713305638512","19.231824254699983","96472188","87136216","10.71422702128814","-"
"1131117","11310","3038","全台","光電業","284987","274727","311314","3.734616546608087","-8.456735000674561","3044154","3768239","-19.215474390026746","-"
"1131117","11310","3040","遠見","其他","11649","13180","13127","-11.61608497723824","-11.25923668774282","111192","129506","-14.141429740706995","-"
"1131117","11310","3041","揚智","半導體業","137394","140122","139937","-1.9468748661880362","-1.8172463322780965","1370182","1143343","19.839978029340276","無"
"1131117","11310","3042","晶技","電子零組件業","1164332","1299860","1090113","-10.426353607311556","6.808376746263919","10508908","8904600","18.016620623048762","-"
"1131117","11310","3043","科風","其他電子業","89310","68117","55860","31.112644420629213","59.88184747583244","691380","1201689","-42.465979134368375","大客戶已消化庫存,陸續下單,故營收較去年同期增加"
"1131117","11310","3044","健鼎","電子零組件業","5604038","5859996","5044757","-4.3678869405371605","11.086381365841804","54362894","48955451","11.045640249540343","-"
"1131117","11310","3045","台灣大","通信網路業","15929971","15913075","14817542","0.10617683885735472","7.507513729335136","159152015","144566251","10.089328525230968","-"
"1131117","11310","3046","建碁","電腦及週邊設備業","405851","564454","388467","-28.098481009967156","4.475026192701053","6178238","4774547","29.399459257600775","-"
"1131117","11310","3047","訊舟","通信網路業","635277","613460","375697","3.556385094382682","69.092912639707","5856576","3626505","61.4936695247904","子公司新市場出貨增加所致"
"1131117","11310","3048","益登","電子通路業","12074150","11284894","12037434","6.993915937535612","0.30501517183811766","92065598","87185865","5.5969313374364065","上述已依IFRS申報合併營收"
"1131117","11310","3049","精金","光電業","147323","146176","52224","0.7846705341506129","182.09826899509804","1182467","1204119","-1.798161145202426","本期營收較去年同期增加182.10，係客戶需求增加所致。"
"1131117","11310","3050","鈺德","光電業","98667","112195","87230","-12.057578323454699","13.111314914593603","1042269","958743","8.712032317315485","-"
"1131117","11310","3051","力特","光電業","174967","175256","181113","-0.16490162961610444","-3.3934615405851596","1484458","1710967","-13.238653930788846","-"
"1131117","11310","3052","夆典","建材營造","160314","190956","185715","-16.046628542700937","-13.677408933042566","2183173","2630975","-17.020382177709784","-"
"1131117","11310","3054","立萬利","食品工業","3814","10983","3849","-65.27360466174997","-0.9093270979475189","85681","28659","198.9671656373216","主係因本期產品結構改變致銷售金額增加。"
"1131117","11310","3055","蔚華科","電子通路業","21191","82493","75654","-74.31175978567879","-71.98958415946282","631333","1110290","-43.1380089886426","本期營收減少，主係出售驗證業務及終止部份代理所致。"
"1131117","11310","3056","富華新","建材營造","4447052","46091","9716","9548.417261504415","45670.399341292716","4683845","1502304","211.77744318060792","營收增加係因個案心之所向完工交屋。"
"1131117","11310","3057","喬鼎","電腦及週邊設備業","34649","55605","51101","-37.68725834007733","-32.19506467583805","454018","484538","-6.298783583537308","-"
"1131117","11310","3058","立德","電子零組件業","253432","261239","319867","-2.9884511883753957","-20.76956985246993","2630184","3145629","-16.38607095750961","-"
"1131117","11310","3059","華晶科","光電業","646789","644493","807614","0.35624902054793456","-19.913597337341848","5831807","7565315","-22.913890565032652","-"
"1131117","11310","3060","銘異","電腦及週邊設備業","264822","325945","262869","-18.752550276887206","0.7429556166759869","2841770","2144129","32.5372680468386","-"
"1131117","11310","3062","建漢","通信網路業","230243","281223","418863","-18.127962506622858","-45.03143032447363","2710647","3226230","-15.98097469802215","-"
"1131117","11310","3090","日電貿","電子零組件業","1146636","1062826","916188","7.885580518353898","25.152916213702863","10134065","8914427","13.681619693559664","-"
"1131117","11310","3092","鴻碩","電子零組件業","135337","157562","176400","-14.105558446833628","-23.278344671201815","1651218","1811371","-8.841534947837854","-"
"1131117","11310","3094","聯傑","半導體業","11501","14524","18295","-20.813825392453868","-37.13582946160153","134025","201953","-33.63554886533005","-"
"1131117","11310","3130","一零四","數位雲端","214105","214498","198921","-0.18321849154770675","7.633181011557352","2093722","1958623","6.897652074952658","-"
"1131117","11310","3138","耀登","通信網路業","138563","158081","168153","-12.34683485048804","-17.597069335664543","1395978","1435811","-2.7742509285692893","-"
"1131117","11310","3149","正達","光電業","168518","229111","165786","-26.44700603637538","1.6479075434596406","1785412","1530371","16.66530534099248","-"
"1131117","11310","3150","鈺寶-創","半導體業","20982","29916","15885","-29.863618130766145","32.08687440982059","304486","192871","57.87028635720248","累計營收較去年同期增加，係因市場需求增加所致。"
"1131117","11310","3164","景岳","生技醫療業","23510","25123","28389","-6.420411575050751","-17.186234104758885","317932","270576","17.501921826030394","-"
"1131117","11310","3167","大量","電機機械","321772","276382","158231","16.422921897952833","103.35585315140523","1932080","978832","97.38627261879465","主係因客戶需求量增加所致"
"1131117","11310","3168","眾福科","光電業","255202","326163","249704","-21.756299764228316","2.2018069394162687","2878667","3384985","-14.957761998945342","-"
"1131117","11310","3189","景碩","半導體業","2576678","2646537","2508336","-2.6396381384428027","2.724595110064999","25068664","21851060","14.72516207451721","-"
